,Week,Genre,Count
32126,2017-09-23,pop,17
32125,2017-09-23,post-teen pop,15
32129,2017-09-23,rap,14
32133,2017-09-23,dance pop,14
32130,2017-09-23,pop rap,12
32150,2017-09-23,trap,12
32128,2017-09-23,hip hop,9
32162,2017-09-23,contemporary country,9
32151,2017-09-23,atl hip hop,7
32168,2017-09-23,urban contemporary,7
32148,2017-09-23,soul,6
32169,2017-09-23,r&b,6
32174,2017-09-23,modern country rock,6
32176,2017-09-23,country,6
32177,2017-09-23,country road,6
32152,2017-09-23,melodic rap,5
32154,2017-09-23,southern hip hop,5
32142,2017-09-23,rock,4
32179,2017-09-23,funk,4
32180,2017-09-23,hip pop,4
32181,2017-09-23,neo soul,4
32182,2017-09-23,quiet storm,4
32137,2017-09-23,alternative r&b,3
32145,2017-09-23,vocal jazz,3
32146,2017-09-23,lounge,3
32147,2017-09-23,adult standards,3
32160,2017-09-23,modern rock,3
32163,2017-09-23,country pop,3
32189,2017-09-23,miami hip hop,3
32217,2017-09-23,philly rap,3
32237,2017-09-23,motown,3
32132,2017-09-23,canadian pop,2
32134,2017-09-23,electropop,2
32141,2017-09-23,metal,2
32143,2017-09-23,hard rock,2
32161,2017-09-23,modern alternative rock,2
32183,2017-09-23,new jack swing,2
32190,2017-09-23,emo rap,2
32191,2017-09-23,uk pop,2
32192,2017-09-23,talent show,2
32208,2017-09-23,gangster rap,2
32216,2017-09-23,classify,2
32236,2017-09-23,post-disco,2
32238,2017-09-23,disco,2
32252,2017-09-23,classic soul,2
32127,2017-09-23,duranguense,1
32131,2017-09-23,canadian contemporary r&b,1
32135,2017-09-23,conscious hip hop,1
32136,2017-09-23,dmv rap,1
32138,2017-09-23,fake,1
32139,2017-09-23,ccm,1
32140,2017-09-23,album rock,1
32144,2017-09-23,birmingham metal,1
32149,2017-09-23,viral pop,1
32153,2017-09-23,social media pop,1
32155,2017-09-23,pop emo,1
32156,2017-09-23,pixie,1
32157,2017-09-23,pop punk,1
32158,2017-09-23,easy listening,1
32159,2017-09-23,indie rock,1
32164,2017-09-23,latin jazz,1
32165,2017-09-23,salsa,1
32166,2017-09-23,salsa puertorriquena,1
32167,2017-09-23,tropical,1
32170,2017-09-23,christian trap,1
32171,2017-09-23,christian hip hop,1
32172,2017-09-23,canadian ccm,1
32173,2017-09-23,pop rock,1
32175,2017-09-23,country rock,1
32178,2017-09-23,plugg,1
32184,2017-09-23,doo-wop,1
32185,2017-09-23,outsider,1
32186,2017-09-23,gospel reggae,1
32187,2017-09-23,deep ragga,1
32188,2017-09-23,old school dancehall,1
32193,2017-09-23,europop,1
32194,2017-09-23,pittsburgh rap,1
32195,2017-09-23,g-house,1
32196,2017-09-23,florida rap,1
32197,2017-09-23,texas latin rap,1
32198,2017-09-23,irish country,1
32199,2017-09-23,speed metal,1
32200,2017-09-23,thrash metal,1
32201,2017-09-23,groove metal,1
32202,2017-09-23,crossover thrash,1
32203,2017-09-23,old school thrash,1
32204,2017-09-23,death metal,1
32205,2017-09-23,british blues,1
32206,2017-09-23,merseybeat,1
32207,2017-09-23,british invasion,1
32209,2017-09-23,trap soul,1
32210,2017-09-23,hamburg indie,1
32211,2017-09-23,liedermacher,1
32212,2017-09-23,german rock,1
32213,2017-09-23,german pop,1
32214,2017-09-23,german indie,1
32215,2017-09-23,trinibad,1
32218,2017-09-23,screamo,1
32219,2017-09-23,skramz,1
32220,2017-09-23,west coast rap,1
32221,2017-09-23,chicano rap,1
32222,2017-09-23,new orleans rap,1
32223,2017-09-23,permanent wave,1
32224,2017-09-23,pinoy hip hop,1
32225,2017-09-23,tagalog rap,1
32226,2017-09-23,jazz trumpet,1
32227,2017-09-23,smooth jazz,1
32228,2017-09-23,song poem,1
32229,2017-09-23,acoustic guitar cover,1
32230,2017-09-23,reggaeton,1
32231,2017-09-23,latin hip hop,1
32232,2017-09-23,neo-traditional country,1
32233,2017-09-23,texas country,1
32234,2017-09-23,classic uk pop,1
32235,2017-09-23,new wave pop,1
32239,2017-09-23,etherpop,1
32240,2017-09-23,indie poptimism,1
32241,2017-09-23,chicago rap,1
32242,2017-09-23,detroit trap,1
