,Week,Genre,Count
21603,2017-09-23,pop,9.0
21612,2017-09-23,dance pop,8.0
21611,2017-09-23,post-teen pop,7.0
21598,2017-09-23,pop rap,6.0
21599,2017-09-23,rap,4.0
21616,2017-09-23,country,4.0
21617,2017-09-23,contemporary country,4.0
21618,2017-09-23,country road,4.0
21596,2017-09-23,hip hop,3.0
21604,2017-09-23,trap,3.0
21613,2017-09-23,alt z,3.0
21593,2017-09-23,pop rock,2.0
21597,2017-09-23,atl hip hop,2.0
21600,2017-09-23,canadian contemporary r&b,2.0
21605,2017-09-23,southern hip hop,2.0
21606,2017-09-23,gangster rap,2.0
21609,2017-09-23,vapor trap,2.0
21610,2017-09-23,modern country rock,2.0
21614,2017-09-23,electropop,2.0
21615,2017-09-23,country pop,2.0
21625,2017-09-23,album rock,2.0
21626,2017-09-23,rock,2.0
21627,2017-09-23,classic rock,2.0
21628,2017-09-23,hard rock,2.0
21638,2017-09-23,r&b,2.0
21640,2017-09-23,pop punk,2.0
21641,2017-09-23,emo,2.0
21686,2017-09-23,indie rock,2.0
21687,2017-09-23,alternative rock,2.0
21592,2017-09-23,nightcore,1.0
21594,2017-09-23,neo mellow,1.0
21595,2017-09-23,jam band,1.0
21601,2017-09-23,dirty south rap,1.0
21602,2017-09-23,canadian pop,1.0
21607,2017-09-23,melodic rap,1.0
21608,2017-09-23,epicore,1.0
21619,2017-09-23,tropical house,1.0
21620,2017-09-23,electro house,1.0
21621,2017-09-23,edm,1.0
21622,2017-09-23,pop dance,1.0
21623,2017-09-23,progressive electro house,1.0
21624,2017-09-23,modern alternative rock,1.0
21629,2017-09-23,rap metal,1.0
21630,2017-09-23,alternative metal,1.0
21631,2017-09-23,nu metal,1.0
21632,2017-09-23,post-grunge,1.0
21633,2017-09-23,australian pop,1.0
21634,2017-09-23,uk pop,1.0
21635,2017-09-23,australian dance,1.0
21636,2017-09-23,trinibad,1.0
21637,2017-09-23,alternative r&b,1.0
21639,2017-09-23,screamo,1.0
21642,2017-09-23,pop emo,1.0
21643,2017-09-23,philly indie,1.0
21644,2017-09-23,dreamo,1.0
21645,2017-09-23,neon pop punk,1.0
21646,2017-09-23,nu skool breaks,1.0
21647,2017-09-23,big beat,1.0
21648,2017-09-23,breakbeat,1.0
21649,2017-09-23,modern blues,1.0
21650,2017-09-23,ninja,1.0
21651,2017-09-23,chillwave,1.0
21652,2017-09-23,soul,1.0
21653,2017-09-23,swedish americana,1.0
21654,2017-09-23,swedish indie folk,1.0
21655,2017-09-23,oklahoma country,1.0
21656,2017-09-23,hardcore hip hop,1.0
21657,2017-09-23,conscious hip hop,1.0
21658,2017-09-23,alternative hip hop,1.0
21659,2017-09-23,east coast hip hop,1.0
21660,2017-09-23,metal,1.0
21661,2017-09-23,glam rock,1.0
21662,2017-09-23,indie pop,1.0
21663,2017-09-23,stomp and holler,1.0
21664,2017-09-23,indie cafe pop,1.0
21665,2017-09-23,indiecoustica,1.0
21666,2017-09-23,avant-garde jazz,1.0
21667,2017-09-23,jazz saxophone,1.0
21668,2017-09-23,jazz funk,1.0
21669,2017-09-23,bebop,1.0
21670,2017-09-23,contemporary post-bop,1.0
21671,2017-09-23,cool jazz,1.0
21672,2017-09-23,hard bop,1.0
21673,2017-09-23,free jazz,1.0
21674,2017-09-23,jazz,1.0
21675,2017-09-23,soul jazz,1.0
21676,2017-09-23,free improvisation,1.0
21677,2017-09-23,uk alternative pop,1.0
21678,2017-09-23,ballroom,1.0
21679,2017-09-23,easy listening,1.0
21680,2017-09-23,space age pop,1.0
21681,2017-09-23,lounge,1.0
21682,2017-09-23,adult standards,1.0
21683,2017-09-23,french indie pop,1.0
21684,2017-09-23,modern rock,1.0
21685,2017-09-23,art pop,1.0
21688,2017-09-23,nu gaze,1.0
21689,2017-09-23,dream pop,1.0
21690,2017-09-23,shoegaze,1.0
21691,2017-09-23,electronica,1.0
21692,2017-09-23,dance-punk,1.0
21693,2017-09-23,britpop,1.0
21694,2017-09-23,scottish indie,1.0
21695,2017-09-23,acoustic guitar cover,1.0
21696,2017-09-23,classify,1.0
21697,2017-09-23,cali rap,1.0
21698,2017-09-23,hip pop,1.0
21699,2017-09-23,neo soul,1.0
21700,2017-09-23,urban contemporary,1.0
21490,2017-09-30,pop,16.0
21488,2017-09-30,pop rap,13.0
21491,2017-09-30,dance pop,13.0
21489,2017-09-30,post-teen pop,9.0
21528,2017-09-30,rap,6.0
21502,2017-09-30,rock,5.0
21504,2017-09-30,album rock,5.0
21499,2017-09-30,electropop,4.0
21507,2017-09-30,pop rock,4.0
21532,2017-09-30,trap,4.0
21498,2017-09-30,seattle hip hop,3.0
21500,2017-09-30,classic rock,3.0
21506,2017-09-30,hard rock,3.0
21514,2017-09-30,alt z,3.0
21529,2017-09-30,melodic rap,3.0
21536,2017-09-30,mellow gold,3.0
21538,2017-09-30,soft rock,3.0
21543,2017-09-30,alternative r&b,3.0
21546,2017-09-30,r&b,3.0
21485,2017-09-30,dance rock,2.0
21492,2017-09-30,trap queen,2.0
21501,2017-09-30,blues rock,2.0
21505,2017-09-30,metal,2.0
21509,2017-09-30,jam band,2.0
21511,2017-09-30,uk pop,2.0
21513,2017-09-30,modern country rock,2.0
21515,2017-09-30,country pop,2.0
21516,2017-09-30,country,2.0
21517,2017-09-30,contemporary country,2.0
21518,2017-09-30,country road,2.0
21526,2017-09-30,hip hop,2.0
21527,2017-09-30,atl hip hop,2.0
21533,2017-09-30,southern hip hop,2.0
21541,2017-09-30,metropopolis,2.0
21544,2017-09-30,urban contemporary,2.0
21475,2017-09-30,london rap,1.0
21476,2017-09-30,art punk,1.0
21477,2017-09-30,new wave,1.0
21478,2017-09-30,alternative rock,1.0
21479,2017-09-30,synthpop,1.0
21480,2017-09-30,zolo,1.0
21481,2017-09-30,post-punk,1.0
21482,2017-09-30,synth punk,1.0
21483,2017-09-30,art rock,1.0
21484,2017-09-30,new romantic,1.0
21486,2017-09-30,punk,1.0
21487,2017-09-30,nightcore,1.0
21493,2017-09-30,minnesota hip hop,1.0
21494,2017-09-30,escape room,1.0
21495,2017-09-30,social media pop,1.0
21496,2017-09-30,viral rap,1.0
21497,2017-09-30,scratch,1.0
21503,2017-09-30,glam metal,1.0
21508,2017-09-30,neo mellow,1.0
21510,2017-09-30,talent show,1.0
21512,2017-09-30,girl group,1.0
21519,2017-09-30,instrumental bluegrass,1.0
21520,2017-09-30,progressive bluegrass,1.0
21521,2017-09-30,mandolin,1.0
21522,2017-09-30,old-time,1.0
21523,2017-09-30,jamgrass,1.0
21524,2017-09-30,bluegrass,1.0
21525,2017-09-30,jazz violin,1.0
21530,2017-09-30,epicore,1.0
21531,2017-09-30,vapor trap,1.0
21534,2017-09-30,emo rap,1.0
21535,2017-09-30,miami hip hop,1.0
21537,2017-09-30,electric blues,1.0
21539,2017-09-30,baroque pop,1.0
21540,2017-09-30,modern rock,1.0
21542,2017-09-30,hip pop,1.0
21545,2017-09-30,pop r&b,1.0
21547,2017-09-30,glam rock,1.0
21548,2017-09-30,folk-pop,1.0
21549,2017-09-30,irish pop,1.0
21550,2017-09-30,neo soul,1.0
21551,2017-09-30,uk contemporary r&b,1.0
21552,2017-09-30,permanent wave,1.0
21553,2017-09-30,australian rock,1.0
21554,2017-09-30,dfw rap,1.0
21555,2017-09-30,trinibad,1.0
21556,2017-09-30,grunge pop,1.0
21557,2017-09-30,classic canadian rock,1.0
21558,2017-09-30,canadian singer-songwriter,1.0
21559,2017-09-30,canadian pop,1.0
21560,2017-09-30,heartland rock,1.0
21561,2017-09-30,viral trap,1.0
21562,2017-09-30,underground hip hop,1.0
21563,2017-09-30,neo r&b,1.0
21564,2017-09-30,vapor pop,1.0
21565,2017-09-30,post-rock,1.0
21566,2017-09-30,american post-rock,1.0
21567,2017-09-30,instrumental rock,1.0
21568,2017-09-30,metal guitar,1.0
21569,2017-09-30,shred,1.0
21570,2017-09-30,neo classical metal,1.0
21571,2017-09-30,tropical house,1.0
21572,2017-09-30,electro house,1.0
21573,2017-09-30,edm,1.0
21574,2017-09-30,pop dance,1.0
21575,2017-09-30,progressive electro house,1.0
21576,2017-09-30,modern alternative rock,1.0
21577,2017-09-30,canadian contemporary r&b,1.0
21578,2017-09-30,acoustic guitar cover,1.0
21579,2017-09-30,classify,1.0
21580,2017-09-30,soca,1.0
21581,2017-09-30,dancehall,1.0
21582,2017-09-30,reggae fusion,1.0
21583,2017-09-30,australian pop,1.0
21584,2017-09-30,australian dance,1.0
21585,2017-09-30,christian rock,1.0
21586,2017-09-30,canadian rock,1.0
21587,2017-09-30,post-grunge,1.0
21588,2017-09-30,rap rock,1.0
21589,2017-09-30,gymcore,1.0
21590,2017-09-30,alternative metal,1.0
21591,2017-09-30,nu metal,1.0
21386,2017-10-07,rock,21.0
21381,2017-10-07,pop rock,20.0
21382,2017-10-07,mellow gold,20.0
21383,2017-10-07,classic rock,20.0
