,Week,Genre,Count
22281,2017-09-21,pop,24
22278,2017-09-21,rap,21
22279,2017-09-21,pop rap,17
22280,2017-09-21,post-teen pop,17
22283,2017-09-21,hip hop,17
22289,2017-09-21,trap,17
22282,2017-09-21,dance pop,15
22290,2017-09-21,southern hip hop,15
22292,2017-09-21,atl hip hop,9
22303,2017-09-21,r&b,6
22304,2017-09-21,miami hip hop,6
22308,2017-09-21,melodic rap,6
22310,2017-09-21,uk pop,6
22287,2017-09-21,hip pop,4
22291,2017-09-21,gangster rap,4
22285,2017-09-21,dirty south rap,3
22298,2017-09-21,rock,3
22305,2017-09-21,urban contemporary,3
22309,2017-09-21,florida rap,3
22325,2017-09-21,emo rap,3
22344,2017-09-21,social media pop,3
22352,2017-09-21,viral pop,3
22284,2017-09-21,queens hip hop,2
22294,2017-09-21,west coast rap,2
22297,2017-09-21,metal,2
22299,2017-09-21,hard rock,2
22301,2017-09-21,alternative r&b,2
22315,2017-09-21,conscious hip hop,2
22320,2017-09-21,latin,2
22322,2017-09-21,reggaeton,2
22323,2017-09-21,latin hip hop,2
22324,2017-09-21,philly rap,2
22326,2017-09-21,talent show,2
22329,2017-09-21,neo soul,2
22337,2017-09-21,vapor trap,2
22341,2017-09-21,country,2
22342,2017-09-21,contemporary country,2
22345,2017-09-21,detroit trap,2
22378,2017-09-21,regional mexican,2
22379,2017-09-21,corrido,2
22380,2017-09-21,nuevo regional mexicano,2
22286,2017-09-21,memphis hip hop,1
22288,2017-09-21,tennessee hip hop,1
22293,2017-09-21,pittsburgh rap,1
22295,2017-09-21,chicano rap,1
22296,2017-09-21,album rock,1
22300,2017-09-21,birmingham metal,1
22302,2017-09-21,kentucky hip hop,1
22306,2017-09-21,barbadian pop,1
22307,2017-09-21,australian hip hop,1
22311,2017-09-21,vocal jazz,1
22312,2017-09-21,easy listening,1
22313,2017-09-21,adult standards,1
22314,2017-09-21,lounge,1
22316,2017-09-21,pony,1
22317,2017-09-21,dfw rap,1
22318,2017-09-21,tropical,1
22319,2017-09-21,trap latino,1
22321,2017-09-21,puerto rican pop,1
22327,2017-09-21,girl group,1
22328,2017-09-21,plugg,1
22330,2017-09-21,speed metal,1
22331,2017-09-21,thrash metal,1
22332,2017-09-21,groove metal,1
22333,2017-09-21,crossover thrash,1
22334,2017-09-21,old school thrash,1
22335,2017-09-21,death metal,1
22336,2017-09-21,slap house,1
22338,2017-09-21,modern country rock,1
22339,2017-09-21,country dawn,1
22340,2017-09-21,country pop,1
22343,2017-09-21,country road,1
22346,2017-09-21,detroit hip hop,1
22347,2017-09-21,movie tunes,1
22348,2017-09-21,disney,1
22349,2017-09-21,show tunes,1
22350,2017-09-21,hollywood,1
22351,2017-09-21,sleep,1
22353,2017-09-21,pinoy hip hop,1
22354,2017-09-21,tagalog rap,1
22355,2017-09-21,canadian ccm,1
22356,2017-09-21,hardcore hip hop,1
22357,2017-09-21,indie r&b,1
22358,2017-09-21,political hip hop,1
22359,2017-09-21,alternative hip hop,1
22360,2017-09-21,east coast hip hop,1
22361,2017-09-21,soul,1
22362,2017-09-21,tropical house,1
22363,2017-09-21,dancehall,1
22364,2017-09-21,uk dance,1
22365,2017-09-21,uk funky,1
22366,2017-09-21,edm,1
22367,2017-09-21,pop dance,1
22368,2017-09-21,modern rock,1
22369,2017-09-21,riot grrrl,1
22370,2017-09-21,alternative rock,1
22371,2017-09-21,alternative pop,1
22372,2017-09-21,grunge,1
22373,2017-09-21,punk,1
22374,2017-09-21,canadian pop,1
22375,2017-09-21,outlaw country,1
22376,2017-09-21,country rock,1
22377,2017-09-21,cumbia sonidera,1
22381,2017-09-21,sierreno,1
22382,2017-09-21,norteno,1
22383,2017-09-21,deep regional mexican,1
22384,2017-09-21,classic hardstyle,1
22385,2017-09-21,tekk,1
22386,2017-09-21,rawstyle,1
22387,2017-09-21,indie soul,1
22388,2017-09-21,dmv rap,1
22389,2017-09-21,drill,1
22390,2017-09-21,underground hip hop,1
22391,2017-09-21,pop r&b,1
22392,2017-09-21,latin pop,1
22393,2017-09-21,boy band,1
22184,2017-09-28,rap,20
22187,2017-09-28,pop,20
22195,2017-09-28,trap,16
22185,2017-09-28,pop rap,15
22189,2017-09-28,hip hop,14
22196,2017-09-28,southern hip hop,13
22186,2017-09-28,post-teen pop,12
22188,2017-09-28,dance pop,11
22198,2017-09-28,atl hip hop,9
22214,2017-09-28,r&b,6
22197,2017-09-28,gangster rap,5
22211,2017-09-28,miami hip hop,5
22222,2017-09-28,melodic rap,5
22191,2017-09-28,dirty south rap,4
22193,2017-09-28,hip pop,4
22212,2017-09-28,uk pop,4
22210,2017-09-28,emo rap,3
22215,2017-09-28,urban contemporary,3
22254,2017-09-28,social media pop,3
22190,2017-09-28,queens hip hop,2
22200,2017-09-28,west coast rap,2
22202,2017-09-28,alternative r&b,2
22204,2017-09-28,metal,2
22206,2017-09-28,hard rock,2
22209,2017-09-28,vapor trap,2
22223,2017-09-28,florida rap,2
22230,2017-09-28,latin,2
22232,2017-09-28,reggaeton,2
22233,2017-09-28,latin hip hop,2
22242,2017-09-28,slap house,2
22248,2017-09-28,country,2
22258,2017-09-28,regional mexican,2
22259,2017-09-28,corrido,2
22260,2017-09-28,nuevo regional mexicano,2
22192,2017-09-28,memphis hip hop,1
22194,2017-09-28,tennessee hip hop,1
22199,2017-09-28,pittsburgh rap,1
22201,2017-09-28,chicano rap,1
22203,2017-09-28,album rock,1
22205,2017-09-28,rock,1
22207,2017-09-28,birmingham metal,1
22208,2017-09-28,australian hip hop,1
22213,2017-09-28,kentucky hip hop,1
22216,2017-09-28,barbadian pop,1
22217,2017-09-28,vocal jazz,1
22218,2017-09-28,easy listening,1
22219,2017-09-28,adult standards,1
22220,2017-09-28,lounge,1
22221,2017-09-28,dfw rap,1
22224,2017-09-28,conscious hip hop,1
22225,2017-09-28,philly rap,1
22226,2017-09-28,talent show,1
22227,2017-09-28,girl group,1
22228,2017-09-28,tropical,1
22229,2017-09-28,trap latino,1
22231,2017-09-28,puerto rican pop,1
22234,2017-09-28,pony,1
22235,2017-09-28,plugg,1
22236,2017-09-28,speed metal,1
22237,2017-09-28,thrash metal,1
22238,2017-09-28,groove metal,1
22239,2017-09-28,crossover thrash,1
22240,2017-09-28,old school thrash,1
22241,2017-09-28,death metal,1
22243,2017-09-28,modern rock,1
22244,2017-09-28,electropop,1
22245,2017-09-28,modern country rock,1
22246,2017-09-28,country dawn,1
22247,2017-09-28,country pop,1
22249,2017-09-28,contemporary country,1
22250,2017-09-28,country road,1
22251,2017-09-28,detroit trap,1
22252,2017-09-28,g-house,1
22253,2017-09-28,canadian ccm,1
22255,2017-09-28,pinoy hip hop,1
22256,2017-09-28,tagalog rap,1
22257,2017-09-28,pop r&b,1
22261,2017-09-28,trap queen,1
22262,2017-09-28,viral rap,1
22263,2017-09-28,canadian pop,1
22264,2017-09-28,viral pop,1
22265,2017-09-28,outlaw country,1
22266,2017-09-28,country rock,1
22267,2017-09-28,sierreno,1
22268,2017-09-28,norteno,1
22269,2017-09-28,deep regional mexican,1
22270,2017-09-28,indie soul,1
22271,2017-09-28,dmv rap,1
22272,2017-09-28,drill,1
22273,2017-09-28,underground hip hop,1
22274,2017-09-28,latin pop,1
22275,2017-09-28,boy band,1
22276,2017-09-28,cumbia sonidera,1
22277,2017-09-28,soul,1
22088,2017-10-05,rap,22
22091,2017-10-05,pop,20
22089,2017-10-05,pop rap,19
22093,2017-10-05,trap,18
22095,2017-10-05,hip hop,17
