,title,rank,date,artist,url,region,chart,trend
405681,rockstar,1,2017-09-23,"Post Malone, 21 Savage",https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,United States,viral50,SAME_POSITION
405682,How Can U Sleep (feat. Lil Dicky & The Game),2,2017-09-23,Brain,https://open.spotify.com/track/1cURnGaH9mR7YM8SsJHZeS,United States,viral50,SAME_POSITION
405683,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",3,2017-09-23,Lorde,https://open.spotify.com/track/7rdUtXasA973gmrr2Xxh3E,United States,viral50,SAME_POSITION
405684,Cocaine (feat. Lil Dicky),4,2017-09-23,Brain,https://open.spotify.com/track/7oW8aBcg9O71aRVEX0hOEU,United States,viral50,SAME_POSITION
405685,Too Good At Goodbyes - Edit,5,2017-09-23,Sam Smith,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y,United States,viral50,SAME_POSITION
405686,"Best Friend (feat. NERVO, The Knocks & ALISA UENO)",6,2017-09-23,Sofi Tukker,https://open.spotify.com/track/1Cicn7ce1xoVlq8gthE2eX,United States,viral50,SAME_POSITION
405687,Let You Down,7,2017-09-23,NF,https://open.spotify.com/track/3gWu8y0TKCIdy2mpTqVnTl,United States,viral50,SAME_POSITION
405688,Curve (feat. The Weeknd),8,2017-09-23,Gucci Mane,https://open.spotify.com/track/1tp1xMJ1uaOktksskS0Fzs,United States,viral50,SAME_POSITION
405689,Too Hotty,9,2017-09-23,"Quality Control, Migos, Eurielle",https://open.spotify.com/track/6rcKz2VYbcaHJ0qSXucR56,United States,viral50,MOVE_UP
405690,Meant to Be (feat. Florida Georgia Line),10,2017-09-23,Bebe Rexha,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,United States,viral50,MOVE_UP
405691,Peace Be Still (feat. Lauren Daigle),11,2017-09-23,The Belonging Co,https://open.spotify.com/track/6zvSkAEtFZIJD7kVeo5by4,United States,viral50,MOVE_UP
405692,Wanted (feat. Nevelle Viracocha),12,2017-09-23,araabMUZIK,https://open.spotify.com/track/05kIfJwnJ2EMhF1vVE6LGq,United States,viral50,MOVE_DOWN
405693,On Hold - Jamie xx Remix,13,2017-09-23,The xx,https://open.spotify.com/track/0iALOYqXaVoluUIsSyDAny,United States,viral50,MOVE_DOWN
405694,On Smash (feat. Lil Dicky),14,2017-09-23,Brain,https://open.spotify.com/track/0daY4BDM1MTMXdh42LwhDv,United States,viral50,MOVE_DOWN
405695,So Much More Than This,15,2017-09-23,Grace VanderWaal,https://open.spotify.com/track/6l3iEDNEyAm9AM5MSjvLkm,United States,viral50,SAME_POSITION
405696,Too Much To Ask,16,2017-09-23,Niall Horan,https://open.spotify.com/track/3hRZsdTF5uyGA2uhNqEuhm,United States,viral50,MOVE_DOWN
