,Week,Genre,Count
0,2017-09-23,pop,17
1,2017-09-30,pop,16
2,2017-10-07,pop,19
3,2017-10-14,pop,18
4,2017-10-21,pop,19
5,2017-10-28,pop,20
6,2017-11-04,pop,18
7,2017-11-11,pop,18
8,2017-11-18,pop,19
9,2017-11-25,pop,18
10,2017-12-02,pop,18
11,2017-12-09,pop,21
12,2017-12-16,pop,22
13,2017-12-23,pop,21
14,2017-12-30,pop,22
15,2018-01-06,rap,19
16,2018-01-13,pop,24
17,2018-01-20,pop,23
18,2018-01-27,pop,23
19,2018-02-03,pop,23
20,2018-02-10,pop,21
21,2018-02-17,pop,22
22,2018-02-24,rap,23
23,2018-03-03,rap,21
24,2018-03-10,rap,22
25,2018-03-17,rap,19
26,2018-03-24,rap,21
27,2018-03-31,pop,18
28,2018-04-07,rap,16
29,2018-04-14,pop,19
30,2018-04-21,pop,23
31,2018-04-28,pop,22
32,2018-05-05,pop rap,16
33,2018-05-12,rap,20
34,2018-05-19,rap,16
35,2018-05-26,rap,18
36,2018-06-02,rap,17
37,2018-06-09,rap,18
38,2018-06-16,rap,22
39,2018-06-23,rap,20
40,2018-06-30,rap,16
41,2018-07-07,rap,17
42,2018-07-14,rap,22
43,2018-07-21,rap,20
44,2018-07-28,rap,18
45,2018-08-04,rap,20
46,2018-08-11,rap,22
47,2018-08-18,rap,18
48,2018-08-25,rap,18
49,2018-09-01,rap,19
50,2018-09-08,rap,23
51,2018-09-15,rap,23
52,2018-09-22,rap,26
53,2018-09-29,rap,26
54,2018-10-06,rap,25
55,2018-10-13,rap,26
56,2018-10-20,rap,24
57,2018-10-27,rap,22
58,2018-11-03,rap,24
59,2018-11-10,rap,24
60,2018-11-17,rap,23
61,2018-11-24,rap,23
62,2018-12-01,rap,21
63,2018-12-08,rap,22
64,2018-12-15,rap,24
65,2018-12-22,rap,16
66,2018-12-29,rap,12
67,2019-01-05,rap,11
68,2019-01-12,pop,15
69,2019-01-19,pop,15
70,2019-01-26,rap,14
71,2019-02-02,rap,14
72,2019-02-09,rap,14
73,2019-02-16,rap,15
74,2019-02-23,pop,13
75,2019-03-02,rap,11
76,2019-03-09,rap,15
77,2019-03-16,pop,16
78,2019-03-23,pop,14
79,2019-03-30,pop,15
80,2019-04-06,pop,16
81,2019-04-13,pop,16
82,2019-04-20,pop,18
83,2019-04-27,pop,17
84,2019-05-04,pop,17
85,2019-05-11,pop,16
86,2019-05-18,pop,16
87,2019-05-25,pop,17
88,2019-06-01,pop,14
89,2019-06-08,pop,14
90,2019-06-15,pop,17
91,2019-06-22,pop,18
92,2019-06-29,pop,18
93,2019-07-06,pop,19
94,2019-07-13,pop,18
95,2019-07-20,pop,17
96,2019-07-27,pop,14
97,2019-08-03,pop,15
98,2019-08-10,pop,15
99,2019-08-17,pop rap,12
100,2019-08-24,pop,11
101,2019-08-31,dance pop,14
102,2019-09-07,pop,19
103,2019-09-14,pop rap,12
104,2019-09-21,rap,13
105,2019-09-28,rap,13
106,2019-10-05,rap,12
107,2019-10-12,rap,17
108,2019-10-19,rap,13
109,2019-10-26,rap,13
110,2019-11-02,pop,13
111,2019-11-09,rap,15
112,2019-11-16,rap,14
113,2019-11-23,pop,15
114,2019-11-30,pop,18
115,2019-12-07,rap,15
116,2019-12-14,pop,14
117,2019-12-21,pop,15
118,2019-12-28,pop,15
119,2020-01-04,pop,15
120,2020-01-11,pop,16
121,2020-01-18,pop,16
122,2020-01-25,pop,17
123,2020-02-01,pop,15
124,2020-02-08,pop,20
125,2020-02-15,pop,19
126,2020-02-22,pop,19
127,2020-02-29,pop,19
128,2020-03-07,pop,16
129,2020-03-14,pop,16
130,2020-03-21,rap,25
131,2020-03-28,rap,22
132,2020-04-04,pop,26
133,2020-04-11,pop,22
134,2020-04-18,pop,21
135,2020-04-25,pop,22
136,2020-05-02,pop,17
137,2020-05-09,pop,18
138,2020-05-16,rap,16
139,2020-05-23,pop,15
140,2020-05-30,rap,16
141,2020-06-06,pop,13
142,2020-06-13,contemporary country,16
143,2020-06-20,contemporary country,19
