,Week,Genre,Count
0,2017-09-23,pop,9.0
1,2017-09-30,pop,16.0
2,2017-10-07,rock,21.0
3,2017-10-14,rap,11.0
4,2017-10-21,rap,10.0
5,2017-10-28,rap,9.0
6,2017-11-04,pop,6.0
7,2017-11-11,dance pop,12.0
8,2017-11-18,rap,8.0
9,2017-11-25,pop rap,10.0
10,2017-12-02,pop rap,5.0
11,2017-12-09,pop,11.0
12,2017-12-16,rap,21.0
13,2017-12-23,rap,20.0
14,2017-12-30,rap,14.0
15,2018-01-06,pop rap,14.0
16,2018-01-13,pop rap,12.0
17,2018-01-20,rap,8.0
18,2018-01-27,pop rap,11.0
19,2018-02-03,pop,11.0
20,2018-02-10,pop,12.0
21,2018-02-17,rap,17.0
22,2018-02-24,pop rap,14.0
23,2018-03-03,pop rap,10.0
24,2018-03-10,pop rap,12.0
25,2018-03-17,rap,13.0
26,2018-03-24,rap,8.0
27,2018-03-31,pop,9.0
28,2018-04-07,pop,12.0
29,2018-04-14,pop,17.0
30,2018-04-21,pop,20.0
31,2018-04-28,rap,16.0
32,2018-05-05,pop,10.0
33,2018-05-12,rap,7.0
34,2018-05-19,rap,10.0
35,2018-05-26,pop,9.0
36,2018-06-02,rap,11.0
37,2018-06-09,pop,13.0
38,2018-06-16,rap,13.0
39,2018-06-23,pop,13.0
40,2018-06-30,pop,21.0
41,2018-07-07,pop rap,20.0
42,2018-07-14,pop rap,12.0
43,2018-07-21,rap,14.0
44,2018-07-28,pop,15.0
45,2018-08-04,pop,14.0
46,2018-08-11,rap,13.0
47,2018-08-18,rap,10.0
48,2018-08-25,pop,14.0
49,2018-09-01,pop,13.0
50,2018-09-08,rap,16.0
51,2018-09-15,rap,17.0
52,2018-09-22,pop,12.0
53,2018-09-29,pop,12.0
54,2018-10-06,pop,12.0
55,2018-10-13,pop,13.0
56,2018-10-20,pop,11.0
57,2018-10-27,pop,11.0
58,2018-11-03,pop,11.0
59,2018-11-10,pop,15.0
60,2018-11-17,pop,16.0
61,2018-11-24,pop,15.0
62,2018-12-01,pop,16.0
63,2018-12-08,pop,13.0
64,2018-12-15,pop,11.0
65,2018-12-22,pop,12.0
66,2018-12-29,pop,15.0
67,2019-01-05,pop,15.0
68,2019-01-12,pop,12.0
69,2019-01-19,rap,14.0
70,2019-01-26,rap,13.0
71,2019-02-02,rap,13.0
72,2019-02-09,rap,11.0
73,2019-02-16,trap,13.0
74,2019-02-23,trap,13.0
75,2019-03-02,pop,13.0
76,2019-03-09,pop,13.0
77,2019-03-16,pop,13.0
78,2019-03-23,pop rap,12.0
79,2019-03-30,rap,14.0
80,2019-04-06,rap,17.0
81,2019-04-13,rap,17.0
82,2019-04-20,rap,13.0
83,2019-04-27,pop,10.0
84,2019-05-04,pop,12.0
85,2019-05-11,pop rap,13.0
86,2019-05-18,pop rap,17.0
87,2019-05-25,pop rap,17.0
88,2019-06-01,pop rap,17.0
89,2019-06-08,pop,13.0
90,2019-06-15,pop,14.0
91,2019-06-22,pop,13.0
92,2019-06-29,pop,12.0
93,2019-07-06,pop rap,14.0
94,2019-07-13,pop rap,18.0
95,2019-07-20,pop rap,15.0
96,2019-07-27,pop rap,15.0
97,2019-08-03,pop rap,16.0
98,2019-08-10,pop rap,12.0
99,2019-08-17,pop rap,15.0
100,2019-08-24,pop rap,12.0
101,2019-08-31,pop rap,13.0
102,2019-09-07,pop rap,11.0
103,2019-09-14,pop rap,14.0
104,2019-09-21,pop rap,12.0
105,2019-09-28,pop rap,10.0
106,2019-10-05,pop,11.0
107,2019-10-12,pop rap,9.0
108,2019-10-19,pop,9.0
109,2019-10-26,pop,9.0
110,2019-11-02,pop,10.0
111,2019-11-09,pop,13.0
112,2019-11-23,pop,13.0
113,2019-11-30,pop,8.0
114,2019-12-07,pop,15.0
115,2019-12-14,pop,11.0
116,2019-12-21,pop,12.0
117,2019-12-28,pop,14.0
118,2020-01-04,pop,18.0
119,2020-01-11,pop,17.0
120,2020-01-18,pop,16.0
121,2020-01-25,pop,13.0
122,2020-02-01,pop,14.0
123,2020-02-08,pop,15.0
124,2020-02-15,pop,14.0
125,2020-02-22,pop,9.0
126,2020-02-29,pop,10.0
127,2020-03-07,pop rap,13.0
128,2020-03-14,rap,11.0
129,2020-03-21,rap,8.0
130,2020-03-28,rap,7.0
131,2020-04-04,rap,6.0
132,2020-04-11,folk rock,12.0
133,2020-04-18,rap,6.0
134,2020-04-25,rap,9.0
135,2020-05-02,rap,6.0
136,2020-05-09,pop,5.0
137,2020-05-16,rap,6.0
138,2020-05-23,rap,5.0
139,2020-05-30,pop rap,7.0
140,2020-06-06,rap,8.0
141,2020-06-13,dance pop,6.0
142,2020-06-20,trap,6.0
143,2020-06-27,trap,9.0
144,2020-07-04,rap,8.0
145,2020-07-11,trap,7.0
146,2020-07-18,trap,3.0
147,2020-07-25,pop rap,8.0
148,2020-08-01,trap,5.0
149,2020-08-08,pop,7.0
150,2020-08-15,pop,10.0
151,2020-08-22,pop,10.0
152,2020-08-29,pop,9.0
153,2020-09-05,pop,11.0
154,2020-09-12,pop,9.0
155,2020-09-19,alt z,6.0
156,2020-09-26,pop,9.0
157,2020-10-03,trap,8.0
158,2020-10-10,trap,7.0
159,2020-10-17,pop,9.0
160,2020-10-24,pop,8.0
161,2020-10-31,viral rap,7.0
162,2020-11-07,viral rap,6.0
163,2020-11-14,viral rap,7.0
164,2020-11-21,viral rap,4.0
165,2020-11-28,pop,6.0
166,2020-12-05,pop,8.0
167,2020-12-12,pop,8.0
168,2020-12-19,pop,6.0
169,2020-12-26,pop,5.0
170,2021-01-02,hip hop,6.0
171,2021-01-09,pop,6.0
172,2021-01-16,pop,5.0
173,2021-01-23,pop,4.0
174,2021-01-30,pop rap,4.0
175,2021-02-06,pop rap,6.0
176,2021-02-13,pop,8.0
177,2021-02-20,pop,7.0
178,2021-02-27,pop,9.0
179,2021-03-06,pop,9.0
180,2021-03-13,pop,10.0
181,2021-03-20,pop,7.0
182,2021-03-27,pop,7.0
183,2021-04-03,pop,8.0
184,2021-04-10,rap,19.0
185,2021-04-17,pop,7.0
186,2021-04-24,pop,7.0
187,2021-05-01,pop,7.0
188,2021-05-08,dance pop,8.0
189,2021-05-15,dance pop,8.0
190,2021-05-22,dance pop,7.0
191,2021-05-29,dance pop,7.0
192,2021-06-05,dance pop,7.0
193,2021-06-12,pop,6.0
194,2021-06-19,pop,10.0
195,2021-06-26,pop,9.0
196,2021-07-03,post-teen pop,3.0
197,2021-07-10,pop rap,4.0
198,2021-07-17,rap,5.0
