,Week,Genre,Count
0,2017-09-21,pop,24
1,2017-09-28,rap,20
2,2017-10-05,rap,22
3,2017-10-12,rap,22
4,2017-10-19,rap,24
5,2017-10-26,rap,29
6,2017-11-02,rap,29
7,2017-11-09,rap,31
8,2017-11-16,rap,25
9,2017-11-23,rap,26
10,2017-11-30,pop,21
11,2017-12-07,pop,18
12,2017-12-14,pop,18
13,2017-12-21,pop,18
14,2017-12-28,rap,18
15,2018-01-04,rap,26
16,2018-01-11,rap,21
17,2018-01-18,rap,20
18,2018-01-25,rap,20
19,2018-02-01,rap,15
20,2018-02-08,rap,19
21,2018-02-15,rap,18
22,2018-02-22,rap,20
23,2018-03-01,rap,21
24,2018-03-08,rap,22
25,2018-03-15,rap,21
26,2018-03-22,rap,24
27,2018-03-29,rap,23
28,2018-04-05,rap,22
29,2018-04-12,rap,20
30,2018-04-19,rap,27
31,2018-04-26,pop rap,20
32,2018-05-03,rap,18
33,2018-05-10,rap,18
34,2018-05-17,rap,22
35,2018-05-24,rap,18
36,2018-05-31,rap,19
37,2018-06-07,rap,21
38,2018-06-14,rap,23
39,2018-06-21,rap,20
40,2018-06-28,rap,22
41,2018-07-05,rap,22
42,2018-07-12,rap,21
43,2018-07-19,rap,20
44,2018-07-26,rap,24
45,2018-08-02,rap,24
46,2018-08-09,rap,24
47,2018-08-16,rap,21
48,2018-08-23,rap,20
49,2018-08-30,rap,22
50,2018-09-06,rap,21
51,2018-09-13,rap,22
52,2018-09-20,rap,20
53,2018-09-27,rap,21
54,2018-10-04,rap,22
55,2018-10-11,rap,24
56,2018-10-18,rap,24
57,2018-10-25,rap,25
58,2018-11-01,rap,24
59,2018-11-08,rap,24
60,2018-11-15,rap,20
61,2018-11-22,rap,21
62,2018-11-29,rap,18
63,2018-12-06,pop,15
64,2018-12-13,rap,19
65,2018-12-20,rap,19
66,2018-12-27,rap,17
67,2019-01-03,rap,19
68,2019-01-10,rap,18
69,2019-01-17,rap,19
70,2019-01-24,rap,19
71,2019-01-31,rap,19
72,2019-02-07,rap,20
73,2019-02-14,rap,21
74,2019-02-21,rap,20
75,2019-02-28,rap,20
76,2019-03-07,rap,20
77,2019-03-14,trap,18
78,2019-03-21,trap,19
79,2019-03-28,trap,18
80,2019-04-04,rap,17
81,2019-04-11,rap,18
82,2019-04-18,trap,19
83,2019-04-25,rap,18
84,2019-05-02,pop,18
85,2019-05-09,pop,18
86,2019-05-16,pop,19
87,2019-05-23,pop,17
88,2019-05-30,pop,23
89,2019-06-06,pop,21
90,2019-06-13,pop,18
91,2019-06-20,rap,17
92,2019-06-27,pop,18
93,2019-07-04,pop,19
94,2019-07-11,pop,18
95,2019-07-18,pop,18
96,2019-07-25,rap,16
97,2019-08-01,rap,15
98,2019-08-08,pop,16
99,2019-08-15,pop,17
100,2019-08-22,pop,17
101,2019-08-29,pop,20
102,2019-09-05,pop,18
103,2019-09-12,pop rap,19
104,2019-09-19,pop,20
105,2019-09-26,pop rap,18
106,2019-10-03,pop rap,15
107,2019-10-10,trap,20
108,2019-10-17,trap,13
109,2019-10-24,trap,18
110,2019-10-31,trap,17
111,2019-11-07,trap,18
112,2019-11-14,trap,17
113,2019-11-21,trap,16
114,2019-11-28,trap,14
115,2019-12-05,rap,16
116,2019-12-12,rap,15
117,2019-12-19,trap,15
118,2019-12-26,trap,13
119,2020-01-02,trap,14
120,2020-01-09,rap,16
121,2020-01-16,rap,15
122,2020-01-23,rap,17
123,2020-01-30,rap,15
124,2020-02-06,rap,15
125,2020-02-13,rap,16
